,HD-OKÊ!!,
Boyzinho o Rei da Bregadeira,33802,SOM DO SOLINHO
Braga Boys,6036,A BOMBA
Brenno e Matheus,33876,COICE DE MULA
Br'oz,6672,PROMETIDA
Bruna Karla,2444,ADVOGADO FIEL
Bruna Karla,2431,QUANDO EU CHORAR
Bruna Karla,2466,QUE BOM QUE VOCÊ CHEGOU
Bruna Karla,2473,SOU HUMANO
Bruna Viola,33898,VOCÊ NÃO SABE (QUERO VER)
Bruninho e Davi,30064,BEIJA-FLOR ME BEIJA
Bruninho e Davi,15411,FICO COM VOCÊ
Bruninho e Davi,33086,IMAGINA COM AS AMIGAS
Bruninho e Davi,15775,ME LEVA AMOR
Bruninho e Davi,15117,SE NAMORAR FOSSE BOM
Bruninho e Davi,33022,SMIRNOFY
Bruninho e Davi part. Gusttavo Lima,30444,FAIXA 3
Bruninho e Davi part. Jorge e Mateus,15550,ONDE NASCE O SOL
,,Página 8 de 62
,HD-OKÊ!!,
CANTOR,NÚMERO,MÚSICA
Bruninho e Davi part. Luan Santana,33968,E ESSA BOCA AÍ?
Bruninho e Davi part. Michel Teló,2940,VAMOS MEXER
Bruno & Marrone,33017,AGORA
Bruno & Marrone,6844,APAZIGUAR
Bruno & Marrone,6448,BIJUTERIA
Bruno & Marrone,6899,CHORAM AS ROSAS
Bruno & Marrone,6529,CREDO EM CRUZ AVE-MARIA
Bruno & Marrone,6689,DEIXA
Bruno & Marrone,6173,DORMI NA PRAÇA
Bruno & Marrone,30212,FERIADO NACIONAL
Bruno & Marrone,9458,FICAR POR FICAR
Bruno & Marrone,6615,LIGAÇÃO URBANA
Bruno & Marrone,33440,LIGUEI PRA DIZER QUE TE AMO
Bruno & Marrone,6143,MEU JEITO DE SENTIR
Bruno & Marrone,30222,PASSOU DA CONTA
Bruno & Marrone,33025,PELA PORTA DA FRENTE
Bruno & Marrone,7229,QUE PESCAR QUE NADA
Bruno & Marrone,33026,STOP QUE ELA É TOP
Bruno & Marrone,6678,VAI DAR NAMORO
Bruno & Marrone,15199,VIDRO FUMÊ
Bruno & Marrone,33028,VOU TE AMARRAR NA MINHA CAMA
Bruno & Marrone,30251,A CULPA É SUA
Bruno & Marrone,9379,ABAFA O CASO
Bruno & Marrone,6322,ACORRENTADO EM VOCÊ
Bruno & Marrone,4302,AGARRADA EM MIM
Bruno & Marrone,6247,AMOR DE CARNAVAL
Bruno & Marrone,30488,BAR SOLIDÃO
Bruno & Marrone,9412,CASTELO DE AREIA
Bruno & Marrone,30297,CHORÃO APAIXONADO
Bruno & Marrone,30298,COMO EU TE AMO
Bruno & Marrone,30299,CORAÇÃO DE PEDRA
Bruno & Marrone,7582,DESIGUAIS
Bruno & Marrone,30316,DOR E SAUDADE
Bruno & Marrone,1250,DUAS VEZES VOCÊ
Bruno & Marrone,33845,É PRA LÁ QUE EU VOU
